initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
jlb,,,Vendredi 9,20h30,Espace Ronsard,Le Lude,"7,5 à 11 €",sv,Premices,Cie entite,Hip Hop,,,,,,,,,,,,,
tu,,,Vendredi 9,20h30,L'Austral,,au chapeau,c,,midlife,rock lyonnais,,dj microsillon,funk,,,,,,,,,,
tu,,,Vendredi 9,21h,Le Zoo,,au chapeau,c,,Azuryte,folk/pop,,,,,,,,,,,,,
tu,Superforma,,Vendredi 9,20h30,Les Saulnières ,,11 à 16 €,c,,JOÃO SELVA,pop funk brazil,,DOWDELIN,alt caraïbe,,,,,,,,,,
zz,Revue de la Flambée du 03 au 25/02,,Samedi 3,,Salle des concerts,,,c,,Essentiel,,,,,,,,,,,,,,
ce,,,Mercredi 14,18h,Blue Zinc,,tnc,c,,Carrémans Swing,swing,,,,,,,,,,,,,
zz,,,Vendredi 9,20h30,Salle Aimée Prilleux,Champagné,3 à 10€,sv,Spectacle Hits Live,,voyage au coeur des comédies musicales,,,,,,,,,,,,,
zz,,,Dimanche 11,16h30,chapiteau du plongeoir,,5 à 12€,sv,Ball,Groupes Noces,"cirque, à partir de 12 ans",,,,,,,,,,,,,
zz,,,Dimanche 11,15h,Le Pâtis,,à partir de 14€,sv,Au secours on a un bébé,,pièce comique,,,,,,,,,,,,,
tu,,,Dimanche 11,15h,Les Saulnières ,,5€/12€,sv,L'Aventure Musicale,,"spectacle musicale, parite des fonds reversée à la ligue contre le cancer",,,,,,,,,,,,,
